praktijk_naam,agb_code,praktijk_adres,praktijk_postcode,praktijk_stad,telefoon,website,lat,lon,signaal_type,signaal_titel,omschrijving,bron_url,publicatiedatum,gemeente,match_score,match_type,created_at
"Huisartsenpraktijk Heerde, Praktijk Brouwer",ZK-3046189,Brinklaan 11,8181 EA,Heerde,,,,,omgevingsvergunning,"Kennisgeving ontvangst verzoek Omgevingsvergunning, Brinklaan 11, 8181EA Heerde",,https://zoek.officielebekendmakingen.nl/gmb-2025-439916.html,2025-10-21,Heerde,hoog,postcode+straat,2026-03-11 15:57:03
"Huisartsenpraktijk Heerde, Praktijk Brouwer",ZK-3046189,Brinklaan 11,8181 EA,Heerde,,,,,omgevingsvergunning,"Kennisgeving buiten behandeling stellen Brinklaan 11, 8181EA Heerde",,https://zoek.officielebekendmakingen.nl/gmb-2026-40813.html,2026-02-03,Heerde,hoog,postcode+straat,2026-03-11 15:57:03
Huisdok,ZK-10087714,Umberstraat 12,5044 JJ,Tilburg,,,,,omgevingsvergunning,"Aanvraag omgevingsvergunning, Umberstraat 12, 5044JJ Tilburg",,https://zoek.officielebekendmakingen.nl/gmb-2026-64505.html,2026-02-12,Tilburg,hoog,postcode+straat,2026-03-11 15:57:02
Huisartsenpraktijk De Draai,ZK-10021979,Nachtegaalstraat 23,1706 BB,Heerhugowaard,,,,,omgevingsvergunning,"Besluit: Vergunning verleend Nachtegaalstraat 23, 1706 BB Heerhugowaard",,https://zoek.officielebekendmakingen.nl/gmb-2025-572107.html,2025-12-29,Dijk en Waard,hoog,postcode+straat,2026-03-11 15:56:43
Huisartsenpraktijk Neede,ZK-123799,Buizerdstraat 3,7161 HZ,Neede,,,,,omgevingsvergunning,"Toestemming voor verbouwen van de huisartsenpraktijk, Buizerdstraat 3, 7161 HZ Neede",,https://zoek.officielebekendmakingen.nl/gmb-2026-5350.html,2026-01-07,Berkelland,hoog,postcode+straat,2026-03-11 15:56:42
Huisartsenpraktijk De Draai,ZK-10021979,Nachtegaalstraat 23,1706 BB,Heerhugowaard,,,,,omgevingsvergunning,"Kennisgeving van Aanvraag Omgevingsvergunning Nachtegaalstraat 23, 1706 BB Heerhugowaard",,https://zoek.officielebekendmakingen.nl/gmb-2025-525996.html,2025-12-03,Dijk en Waard,hoog,postcode+straat,2026-03-11 15:56:42
Huisartsenpraktijk Waalfront,ZK-10015215,Lijnbaanstraat 22,6541 AL,Nijmegen,,,,,omgevingsvergunning,"Aanvraag omgevingsvergunning voor het verlengen van het tijdelijk huisvesten van HAP waalfront, aan Lijnbaanstraat 22, 6541AL Nijmegen",,https://zoek.officielebekendmakingen.nl/gmb-2026-5329.html,2026-01-07,Nijmegen,hoog,postcode+straat,2026-03-11 15:56:42
Huisartsenpraktijk Kloosterweg,ZK-120989,Kloosterweg 6,5144 CB,Waalwijk,,,,,omgevingsvergunning,"Ingediende aanvraag omgevingsvergunning, Kloosterweg 6, 5144 CB Waalwijk",,https://zoek.officielebekendmakingen.nl/gmb-2025-493358.html,2025-11-19,Waalwijk,hoog,postcode+straat,2026-03-11 15:56:42
Spaarne Huisartsen Schalkwijk,ZK-10090098,Europaweg 1307,2035 LA,Haarlem,,,,,omgevingsvergunning,"Gemeente Haarlem, omgevingsvergunning verleend, Europaweg 1307 2035LA Haarlem, 0392-2025-0159488, het  plaatsen van de naam van de huisartsenpraktijk op de gevel, verzonden 15-12-2025",,https://zoek.officielebekendmakingen.nl/gmb-2025-551177.html,2025-12-17,Haarlem,hoog,postcode+straat,2026-03-11 15:56:41
Huisartsenpraktijk Kloosterweg,ZK-120989,Kloosterweg 6,5144 CB,Waalwijk,,,,,omgevingsvergunning,"Kennisgeving termijnverlenging aanvraag om omgevingsvergunning, Kloosterweg 6, 5144 CB Waalwijk",,https://zoek.officielebekendmakingen.nl/gmb-2026-15163.html,2026-01-14,Waalwijk,hoog,postcode+straat,2026-03-11 15:56:41
"Huisartspraktijk E.M.E. Brugman, Locatie Zevenaar",ZK-3044075,Vondellaan 9,6901 MA,Zevenaar,,,,,omgevingsvergunning,"Kennisgeving ontvangst aanvraag omgevingsvergunning: Vondellaan 11, 6901MA Zevenaar, het uitbreiden van de huisartsenpraktijk aan de Vondellaan 9",,https://zoek.officielebekendmakingen.nl/gmb-2025-430248.html,2025-10-06,Zevenaar,hoog,postcode+straat,2026-03-11 15:56:40
Spaarne Huisartsen Schalkwijk,ZK-10090098,Europaweg 1307,2035 LA,Haarlem,,,,,omgevingsvergunning,"Gemeente Haarlem, ingekomen aanvraag omgevingsvergunning, Europaweg 1307 2035LA Haarlem, 0392-2025-0159488, het  plaatsen van de naam van de huisartsenpraktijk op de gevel, ontvangen op 20-10-2025",,https://zoek.officielebekendmakingen.nl/gmb-2025-457604.html,2025-10-22,Haarlem,hoog,postcode+straat,2026-03-11 15:56:40
"Huisartspraktijk E.M.E. Brugman, Locatie Zevenaar",ZK-3044075,Vondellaan 9,6901 MA,Zevenaar,,,,,omgevingsvergunning,"Intrekking verzoek voor het uitbreiden van de huisartsenpraktijk aan de Vondellaan 9, Vondellaan 11, 6901MA Zevenaar",,https://zoek.officielebekendmakingen.nl/gmb-2025-431474.html,2025-10-06,Zevenaar,hoog,postcode+straat,2026-03-11 15:56:40
DomstadDokters,ZK-10018310,Ambachtstraat 2,3512 ES,Utrecht,,,,,omgevingsvergunning,"Aanvraag omgevingsvergunning, het uitbreiden en verbouwen van het pand naar een huisartsenpraktijk, Ambachtstraat 12, 3512ES Utrecht, GU-Z2026-0042209",,https://zoek.officielebekendmakingen.nl/gmb-2026-17385.html,2026-01-15,Utrecht,hoog,postcode+straat,2026-03-11 15:56:40
"Huisartspraktijk E.M.E. Brugman, Locatie Zevenaar",ZK-3044075,Vondellaan 9,6901 MA,Zevenaar,,,,,omgevingsvergunning,"Kennisgeving verlenging beslistermijn omgevingsvergunning: Vondellaan 11, 6901MA Zevenaar het uitbreiden van de huisartsenpraktijk aan de Vondellaan 9",,https://zoek.officielebekendmakingen.nl/gmb-2025-538151.html,2025-12-10,Zevenaar,hoog,postcode+straat,2026-03-11 15:56:40
"Huisartspraktijk E.M.E. Brugman, Locatie Zevenaar",ZK-3044075,Vondellaan 9,6901 MA,Zevenaar,,,,,omgevingsvergunning,"Kennisgeving besluit op aanvraag omgevingsvergunning Vondellaan 11, 6901MA Zevenaar het uitbreiden van de huisartsenpraktijk aan de Vondellaan 9",,https://zoek.officielebekendmakingen.nl/gmb-2025-545819.html,2025-12-15,Zevenaar,hoog,postcode+straat,2026-03-11 15:56:40
"Huisartspraktijk E.M.E. Brugman, Locatie Zevenaar",ZK-3044075,Vondellaan 9,6901 MA,Zevenaar,,,,,omgevingsvergunning,"Kennisgeving ontvangst aanvraag omgevingsvergunning: Vondellaan 11, 6901MA Zevenaar, het uitbreiden van de huisartsenpraktijk aan de Vondellaan 9",,https://zoek.officielebekendmakingen.nl/gmb-2025-412233.html,2025-09-24,Zevenaar,hoog,postcode+straat,2026-03-11 15:56:39
Huisartsenpraktijk Haagse Beemden,ZK-205721,Hondsdonk 58,4824 CG,Breda,,,,,omgevingsvergunning,Intrekken aanvraag omgevingsvergunning voor het uitbreiden van Huisartsenpraktijk Haagse Beemden aan Hondsdonk 58 4824CG Breda,,https://zoek.officielebekendmakingen.nl/gmb-2025-406536.html,2025-09-19,Breda,hoog,naam,2026-03-11 15:56:38
"Huisartsengroep Het Raethuys, Praktijk C.E. Wynhoven",ZK-205862,Stationsstraat 3,5151 HA,Drunen,,,,,omgevingsvergunning,"Gemeente Heusden - Omgevingsvergunning aangevraagd - Stationsstraat 3 en 5, 5151HA, Drunen,  interne verbouwing huisartsenpraktijk en apotheek",,https://zoek.officielebekendmakingen.nl/gmb-2026-1420.html,2026-01-07,Heusden,hoog,postcode+straat,2026-03-11 15:56:38
Huisartsenpraktijk Arts en Zorg Hoornseveld,ZK-243890,Panneroodstraat 87,1503 XM,Zaandam,,,,,omgevingsvergunning,Verlenging beslistermijn omgevingsvergunning - voorerf van appartementencomplex Panneroodstraat 91-171 1503 XN Zaandam - het plaatsen van tijdelijke portakabins tbv verbouwing huisartsenpraktijk,,https://zoek.officielebekendmakingen.nl/gmb-2025-397418.html,2025-09-15,Zaanstad,hoog,postcode+straat,2026-03-11 15:56:38
Huisartsenpraktijk Arts en Zorg Hoornseveld,ZK-243890,Panneroodstraat 87,1503 XM,Zaandam,,,,,omgevingsvergunning,"Intrekking aanvraag omgevingsvergunning - voorerf van appartementencomplex Panneroodstraat 91-171, 1503 XN Zaandam - het plaatsen van tijdelijke portakabins tbv verbouwing huisartsenpraktijk",,https://zoek.officielebekendmakingen.nl/gmb-2025-532427.html,2025-12-08,Zaanstad,hoog,postcode+straat,2026-03-11 15:56:38
